"Date","Price","Open","High","Low","Vol.","Change %"
"12/19/2023","7,872.48","7,963.06","8,030.39","7,871.52","1.21B","-1.14%"
"12/18/2023","7,963.06","7,877.07","8,016.45","7,877.07","1.04B","1.09%"
"12/17/2023","7,877.07","7,768.53","7,904.84","7,768.53","1.05B","1.40%"
"12/14/2023","7,768.53","7,670.80","7,800.40","7,670.80","1.14B","1.27%"
"12/13/2023","7,670.80","7,438.89","7,670.80","7,438.89","1.31B","3.12%"
"12/12/2023","7,438.89","7,440.04","7,550.30","7,409.93","1.39B","-0.02%"
"12/11/2023","7,440.04","7,547.07","7,547.07","7,436.40","928.60M","-1.42%"
"12/10/2023","7,547.07","7,681.96","7,783.17","7,547.07","819.59M","-1.76%"
"12/07/2023","7,681.96","7,753.97","7,756.46","7,499.23","801.16M","-0.93%"
"12/06/2023","7,753.97","7,866.20","7,952.97","7,750.59","888.83M","-1.43%"
"12/05/2023","7,866.20","7,840.25","7,918.46","7,840.25","1.13B","0.33%"
"12/04/2023","7,840.25","7,686.25","7,840.25","7,686.25","1.07B","2.00%"
"12/03/2023","7,686.25","7,645.91","7,722.00","7,645.91","961.67M","0.53%"
"11/30/2023","7,645.91","7,533.13","7,648.38","7,533.13","1.17B","1.50%"
"11/29/2023","7,533.13","7,544.12","7,621.16","7,509.22","1.30B","-0.15%"
"11/28/2023","7,544.12","7,540.25","7,601.73","7,506.40","1.31B","0.05%"
"11/27/2023","7,540.25","7,466.08","7,556.30","7,466.08","1.39B","0.99%"
"11/26/2023","7,466.08","7,444.05","7,522.33","7,444.05","1.49B","0.30%"
"11/23/2023","7,444.05","7,378.34","7,471.46","7,378.34","1.15B","0.89%"
"11/22/2023","7,378.34","7,244.41","7,382.07","7,244.41","1.28B","1.85%"
